Date,Value
2015-01-01,146.558
2015-02-01,147.345
2015-03-01,147.574
2015-04-01,147.844
2015-05-01,147.889
2015-06-01,147.845
2015-07-01,147.154
2015-08-01,146.704
2015-09-01,146.570
2015-10-01,146.516
2015-11-01,146.804
2015-12-01,146.817
2016-01-01,147.456
2016-02-01,148.268
2016-03-01,148.227
2016-04-01,147.895
2016-05-01,147.646
2016-06-01,147.245
2016-07-01,147.119
2016-08-01,146.713
2016-09-01,146.499
2016-10-01,146.896
2016-11-01,147.027
2016-12-01,147.299
2017-01-01,148.848
2017-02-01,148.993
2017-03-01,148.543
2017-04-01,148.457
2017-05-01,148.033
2017-06-01,147.262
2017-07-01,146.190
2017-08-01,145.712
2017-09-01,145.037
2017-10-01,144.868
2017-11-01,145.442
2017-12-01,146.522
2018-01-01,146.996
2018-02-01,146.807
2018-03-01,146.727
2018-04-01,146.069
2018-05-01,146.349
2018-06-01,146.562
2018-07-01,146.526
2018-08-01,146.149
2018-09-01,145.715
2018-10-01,145.588
2018-11-01,145.826
2018-12-01,146.126
2019-01-01,147.059
2019-02-01,147.226
2019-03-01,147.788
2019-04-01,147.840
2019-05-01,147.659
2019-06-01,147.417
2019-07-01,147.035
2019-08-01,146.456
2019-09-01,145.854
2019-10-01,145.726
2019-11-01,145.728
2019-12-01,146.220
2020-01-01,147.253
2020-02-01,147.803
2020-03-01,147.124
2020-04-01,147.007
2020-05-01,147.222
2020-06-01,147.108
2020-07-01,147.803
2020-08-01,147.412
2020-09-01,147.361
2020-10-01,147.956
2020-11-01,148.063
2020-12-01,149.091
2021-01-01,149.377
2021-02-01,149.515
2021-03-01,149.321
2021-04-01,149.892
2021-05-01,152.143
2021-06-01,154.847
2021-07-01,157.203
2021-08-01,158.652
2021-09-01,160.244
2021-10-01,162.527
2021-11-01,164.511
2021-12-01,166.653
2022-01-01,167.582
2022-02-01,168.027
2022-03-01,168.056
2022-04-01,169.699
2022-05-01,171.350
2022-06-01,172.546
2022-07-01,173.618
2022-08-01,174.598
2022-09-01,175.312
2022-10-01,176.157
2022-11-01,176.354
